ym,pro,yr,mth,cap,pro_avg,cap_avg
2003-12-01,368940,2003,12,383481,368940,383481
2004-01-01,358355,2004,1,372767,317658.833333333,325488.583333333
2004-02-01,304185,2004,2,307328,317658.833333333,325488.583333333
2004-03-01,309490,2004,3,305107,317658.833333333,325488.583333333
2004-04-01,372471,2004,4,378719,317658.833333333,325488.583333333
2004-05-01,293471,2004,5,294375,317658.833333333,325488.583333333
2004-06-01,310562,2004,6,321081,317658.833333333,325488.583333333
2004-07-01,310562,2004,7,321081,317658.833333333,325488.583333333
2004-08-01,310562,2004,8,321081,317658.833333333,325488.583333333
2004-09-01,310562,2004,9,321081,317658.833333333,325488.583333333
2004-10-01,310562,2004,10,321081,317658.833333333,325488.583333333
2004-11-01,310562,2004,11,321081,317658.833333333,325488.583333333
2004-12-01,310562,2004,12,321081,317658.833333333,325488.583333333
2005-01-01,374729,2005,1,383955,318473.5,322815.583333333
2005-02-01,295218,2005,2,300067,318473.5,322815.583333333
2005-03-01,309337,2005,3,305511,318473.5,322815.583333333
2005-04-01,323037,2005,4,330088,318473.5,322815.583333333
2005-05-01,323037,2005,5,330088,318473.5,322815.583333333
2005-06-01,323037,2005,6,330088,318473.5,322815.583333333
2005-07-01,323037,2005,7,330088,318473.5,322815.583333333
2005-08-01,306992,2005,8,309120,318473.5,322815.583333333
2005-09-01,304763,2005,9,309120,318473.5,322815.583333333
2005-10-01,358179,2005,10,360779,318473.5,322815.583333333
2005-11-01,267816,2005,11,272829,318473.5,322815.583333333
2005-12-01,312500,2005,12,312054,318473.5,322815.583333333
2006-01-01,376178,2006,1,387037,324111.533333333,334368.866666667
2006-01-01,376178,2006,1,387037,324111.533333333,334368.866666667
2006-01-01,376178,2006,1,387037,324111.533333333,334368.866666667
2006-01-01,376178,2006,1,387037,324111.533333333,334368.866666667
2006-02-01,296878,2006,2,302102,324111.533333333,334368.866666667
2006-03-01,308053,2006,3,308938,324111.533333333,334368.866666667
2006-04-01,304763,2006,4,309120,324111.533333333,334368.866666667
2006-05-01,304763,2006,5,309120,324111.533333333,334368.866666667
2006-06-01,304763,2006,6,309120,324111.533333333,334368.866666667
2006-07-01,304763,2006,7,309120,324111.533333333,334368.866666667
2006-08-01,304763,2006,8,309120,324111.533333333,334368.866666667
2006-09-01,304763,2006,9,309120,324111.533333333,334368.866666667
2006-10-01,325518,2006,10,342683,324111.533333333,334368.866666667
2006-11-01,308514,2006,11,328006,324111.533333333,334368.866666667
2006-12-01,289420,2006,12,330936,324111.533333333,334368.866666667
2007-01-01,325043,2007,1,330114,314972.083333333,334435.083333333
2007-02-01,325043,2007,2,330114,314972.083333333,334435.083333333
2007-03-01,318485,2007,3,337567,314972.083333333,334435.083333333
2007-04-01,309569,2007,4,332412,314972.083333333,334435.083333333
2007-05-01,305069,2007,5,338972,314972.083333333,334435.083333333
2007-06-01,298138,2007,6,313284,314972.083333333,334435.083333333
2007-07-01,329265,2007,7,348027,314972.083333333,334435.083333333
2007-08-01,327277,2007,8,347959,314972.083333333,334435.083333333
2007-09-01,310444,2007,9,333693,314972.083333333,334435.083333333
2007-10-01,310444,2007,10,333693,314972.083333333,334435.083333333
2007-11-01,310444,2007,11,333693,314972.083333333,334435.083333333
2007-12-01,310444,2007,12,333693,314972.083333333,334435.083333333
2008-01-01,343682,2008,1,377084,320729.833333333,356291.833333333
2008-02-01,324912,2008,2,352267,320729.833333333,356291.833333333
2008-03-01,329942,2008,3,360222,320729.833333333,356291.833333333
2008-04-01,323083,2008,4,360511,320729.833333333,356291.833333333
2008-05-01,306643,2008,5,363117,320729.833333333,356291.833333333
2008-06-01,272801,2008,6,306754,320729.833333333,356291.833333333
2008-07-01,318971,2008,7,344348,320729.833333333,356291.833333333
2008-08-01,338693,2008,8,372880,320729.833333333,356291.833333333
2008-09-01,330398,2008,9,363942,320729.833333333,356291.833333333
2008-10-01,328855,2008,10,368595,320729.833333333,356291.833333333
2008-11-01,315389,2008,11,352891,320729.833333333,356291.833333333
2008-12-01,315389,2008,12,352891,320729.833333333,356291.833333333
2009-01-01,315389,2009,1,352891,305401.75,354526.5
2009-02-01,315389,2009,2,352891,305401.75,354526.5
2009-03-01,315389,2009,3,352891,305401.75,354526.5
2009-04-01,315389,2009,4,352891,305401.75,354526.5
2009-05-01,315389,2009,5,352891,305401.75,354526.5
2009-06-01,315389,2009,6,352891,305401.75,354526.5
2009-07-01,315389,2009,7,352891,305401.75,354526.5
2009-08-01,315389,2009,8,352891,305401.75,354526.5
2009-09-01,315389,2009,9,352891,305401.75,354526.5
2009-10-01,305056,2009,10,360436,305401.75,354526.5
2009-11-01,260581,2009,11,359424,305401.75,354526.5
2009-12-01,260683,2009,12,358439,305401.75,354526.5
2010-01-01,284072,2010,1,336846,294369.571428571,324949.857142857
2010-02-01,251930,2010,2,285372,294369.571428571,324949.857142857
2010-03-01,305775,2010,3,316223,294369.571428571,324949.857142857
2010-04-01,284375,2010,4,360030,294369.571428571,324949.857142857
2010-05-01,310554,2010,5,323980,294369.571428571,324949.857142857
2010-06-01,304923,2010,6,318390,294369.571428571,324949.857142857
2010-07-01,318958,2010,7,333808,294369.571428571,324949.857142857
